Roll Number,Time,Date,
122009,09:30:00,2024-12-01,On Time
122010,09:30:00,2024-12-01,On Time
122011,09:30:00,2024-12-01,On Time
122012,09:30:00,2024-12-01,On Time
122013,09:30:00,2024-12-01,On Time
122014,09:30:00,2024-12-01,On Time
122015,09:30:00,2024-12-01,On Time
122016,09:30:00,2024-12-01,On Time
122017,09:30:00,2024-12-01,On Time
122018,09:30:00,2024-12-01,On Time
122019,09:30:00,2024-12-01,On Time
122020,09:30:00,2024-12-01,On Time
122021,09:30:00,2024-12-01,On Time
122022,09:30:00,2024-12-01,On Time
122023,09:30:00,2024-12-01,On Time
122024,09:30:00,2024-12-01,On Time
122025,09:30:00,2024-12-01,On Time
122026,09:30:00,2024-12-01,On Time
122027,09:30:00,2024-12-01,On Time
122028,09:30:00,2024-12-01,On Time
122029,09:30:00,2024-12-01,On Time
122030,09:30:00,2024-12-01,On Time
111001,09:30:00,2024-12-02,On Time
111002,09:30:00,2024-12-02,On Time
111003,09:30:00,2024-12-02,On Time
111004,09:30:00,2024-12-02,On Time
111005,09:30:00,2024-12-02,On Time
111006,09:30:00,2024-12-02,On Time
111007,09:30:00,2024-12-02,On Time
111008,09:30:00,2024-12-02,On Time
111009,09:30:00,2024-12-02,On Time
111010,09:30:00,2024-12-02,On Time
111011,09:30:00,2024-12-02,On Time
111012,09:30:00,2024-12-02,On Time
111013,09:30:00,2024-12-02,On Time
111014,09:30:00,2024-12-02,On Time
111015,09:30:00,2024-12-02,On Time
111016,09:30:00,2024-12-02,On Time
111017,09:30:00,2024-12-02,On Time
111018,09:30:00,2024-12-02,On Time
111019,09:30:00,2024-12-02,On Time
111020,09:30:00,2024-12-02,On Time
111021,09:30:00,2024-12-02,On Time
111022,09:30:00,2024-12-02,On Time
111023,09:30:00,2024-12-02,On Time
111024,09:30:00,2024-12-02,On Time
111025,09:30:00,2024-12-02,On Time
111026,09:30:00,2024-12-02,On Time
111027,09:30:00,2024-12-02,On Time
111028,09:30:00,2024-12-02,On Time
111029,09:30:00,2024-12-02,On Time
111030,09:30:00,2024-12-02,On Time
112001,09:30:00,2024-12-02,On Time
112002,09:30:00,2024-12-02,On Time
112003,09:30:00,2024-12-02,On Time
112004,09:30:00,2024-12-02,On Time
112005,09:30:00,2024-12-02,On Time
112006,09:30:00,2024-12-02,On Time
112007,09:30:00,2024-12-02,On Time
112008,09:30:00,2024-12-02,On Time
112009,09:30:00,2024-12-02,On Time
112010,09:30:00,2024-12-02,On Time
112011,09:30:00,2024-12-02,On Time
112012,09:30:00,2024-12-02,On Time
112013,09:30:00,2024-12-02,On Time
112014,09:30:00,2024-12-02,On Time
112015,09:30:00,2024-12-02,On Time
112016,09:30:00,2024-12-02,On Time
112017,09:30:00,2024-12-02,On Time
112018,09:30:00,2024-12-02,On Time
112019,09:30:00,2024-12-02,On Time
112020,09:30:00,2024-12-02,On Time
112021,09:30:00,2024-12-02,On Time
112022,09:30:00,2024-12-02,On Time
112023,09:30:00,2024-12-02,On Time
112024,09:30:00,2024-12-02,On Time
112025,09:30:00,2024-12-02,On Time
112026,09:30:00,2024-12-02,On Time
112027,09:30:00,2024-12-02,On Time
112028,09:30:00,2024-12-02,On Time
112029,09:30:00,2024-12-02,On Time
112030,09:30:00,2024-12-02,On Time
121001,09:30:00,2024-12-02,On Time
121002,09:30:00,2024-12-02,On Time
121003,09:30:00,2024-12-02,On Time
121004,09:30:00,2024-12-02,On Time
121005,09:30:00,2024-12-02,On Time
121006,09:30:00,2024-12-02,On Time
121007,09:30:00,2024-12-02,On Time
121008,09:30:00,2024-12-02,On Time
121009,09:30:00,2024-12-02,On Time
121010,09:30:00,2024-12-02,On Time
121011,09:30:00,2024-12-02,On Time
121012,09:30:00,2024-12-02,On Time
121013,09:30:00,2024-12-02,On Time
121014,09:30:00,2024-12-02,On Time
121015,09:30:00,2024-12-02,On Time
121016,09:30:00,2024-12-02,On Time
121017,09:30:00,2024-12-02,On Time
121018,09:30:00,2024-12-02,On Time
121019,09:30:00,2024-12-02,On Time
121020,09:30:00,2024-12-02,On Time
121021,09:30:00,2024-12-02,On Time
121022,09:30:00,2024-12-02,On Time
121023,09:30:00,2024-12-02,On Time
121024,09:30:00,2024-12-02,On Time
121025,09:30:00,2024-12-02,On Time
121026,09:30:00,2024-12-02,On Time
121027,09:30:00,2024-12-02,On Time
121028,09:30:00,2024-12-02,On Time
121029,09:30:00,2024-12-02,On Time
121030,09:30:00,2024-12-02,On Time
122001,09:30:00,2024-12-02,On Time
122002,09:30:00,2024-12-02,On Time
122003,09:30:00,2024-12-02,On Time
122004,09:30:00,2024-12-02,On Time
122005,09:30:00,2024-12-02,On Time
122006,09:30:00,2024-12-02,On Time
122007,09:30:00,2024-12-02,On Time
122008,09:30:00,2024-12-02,On Time
122009,09:30:00,2024-12-02,On Time
122010,09:30:00,2024-12-02,On Time
122011,09:30:00,2024-12-02,On Time
122012,09:30:00,2024-12-02,On Time
122013,09:30:00,2024-12-02,On Time
122014,09:30:00,2024-12-02,On Time
122015,09:30:00,2024-12-02,On Time
122016,09:30:00,2024-12-02,On Time
122017,09:30:00,2024-12-02,On Time
122018,09:30:00,2024-12-02,On Time
122019,09:30:00,2024-12-02,On Time
122020,09:30:00,2024-12-02,On Time
122021,09:30:00,2024-12-02,On Time
122022,09:30:00,2024-12-02,On Time
122023,09:30:00,2024-12-02,On Time
122024,09:30:00,2024-12-02,On Time
122025,09:30:00,2024-12-02,On Time
122026,09:30:00,2024-12-02,On Time
122027,09:30:00,2024-12-02,On Time
122028,09:30:00,2024-12-02,On Time
122029,09:30:00,2024-12-02,On Time
122030,09:30:00,2024-12-02,On Time
111001,09:30:00,2024-12-03,On Time
111002,09:30:00,2024-12-03,On Time
111003,09:30:00,2024-12-03,On Time
111004,09:30:00,2024-12-03,On Time
111005,09:30:00,2024-12-03,On Time
111006,09:30:00,2024-12-03,On Time
111007,09:30:00,2024-12-03,On Time
111008,09:30:00,2024-12-03,On Time
111009,09:30:00,2024-12-03,On Time
111010,09:30:00,2024-12-03,On Time
111011,09:30:00,2024-12-03,On Time
111012,09:30:00,2024-12-03,On Time
111013,09:30:00,2024-12-03,On Time
111014,09:30:00,2024-12-03,On Time
111015,09:30:00,2024-12-03,On Time
111016,09:30:00,2024-12-03,On Time
111017,09:30:00,2024-12-03,On Time
111018,09:30:00,2024-12-03,On Time
111019,09:30:00,2024-12-03,On Time
111020,09:30:00,2024-12-03,On Time
111021,09:30:00,2024-12-03,On Time
111022,09:30:00,2024-12-03,On Time
111023,09:30:00,2024-12-03,On Time
111024,09:30:00,2024-12-03,On Time
111025,09:30:00,2024-12-03,On Time
111026,09:30:00,2024-12-03,On Time
111027,09:30:00,2024-12-03,On Time
111028,09:30:00,2024-12-03,On Time
111029,09:30:00,2024-12-03,On Time
111030,09:30:00,2024-12-03,On Time
112001,09:30:00,2024-12-03,On Time
112002,09:30:00,2024-12-03,On Time
112003,09:30:00,2024-12-03,On Time
112004,09:30:00,2024-12-03,On Time
112005,09:30:00,2024-12-03,On Time
112006,09:30:00,2024-12-03,On Time
112007,09:30:00,2024-12-03,On Time
112008,09:30:00,2024-12-03,On Time
112009,09:30:00,2024-12-03,On Time
112010,09:30:00,2024-12-03,On Time
112011,09:30:00,2024-12-03,On Time
112012,09:30:00,2024-12-03,On Time
112013,09:30:00,2024-12-03,On Time
112014,09:30:00,2024-12-03,On Time
112015,09:30:00,2024-12-03,On Time
112016,09:30:00,2024-12-03,On Time
112017,09:30:00,2024-12-03,On Time
112018,09:30:00,2024-12-03,On Time
112019,09:30:00,2024-12-03,On Time
112020,09:30:00,2024-12-03,On Time
112021,09:30:00,2024-12-03,On Time
112022,09:30:00,2024-12-03,On Time
112023,09:30:00,2024-12-03,On Time
112024,09:30:00,2024-12-03,On Time
112025,09:30:00,2024-12-03,On Time
112026,09:30:00,2024-12-03,On Time
112027,09:30:00,2024-12-03,On Time
112028,09:30:00,2024-12-03,On Time
112029,09:30:00,2024-12-03,On Time
112030,09:30:00,2024-12-03,On Time
121001,09:30:00,2024-12-03,On Time
121002,09:30:00,2024-12-03,On Time
121003,09:30:00,2024-12-03,On Time
121004,09:30:00,2024-12-03,On Time
121005,09:30:00,2024-12-03,On Time
121006,09:30:00,2024-12-03,On Time
121007,09:30:00,2024-12-03,On Time
121008,09:30:00,2024-12-03,On Time
121009,09:30:00,2024-12-03,On Time
121010,09:30:00,2024-12-03,On Time
121011,09:30:00,2024-12-03,On Time
121012,09:30:00,2024-12-03,On Time
121013,09:30:00,2024-12-03,On Time
121014,09:30:00,2024-12-03,On Time
121015,09:30:00,2024-12-03,On Time
121016,09:30:00,2024-12-03,On Time
121017,09:30:00,2024-12-03,On Time
121018,09:30:00,2024-12-03,On Time
121019,09:30:00,2024-12-03,On Time
121020,09:30:00,2024-12-03,On Time
121021,09:30:00,2024-12-03,On Time
121022,09:30:00,2024-12-03,On Time
121023,09:30:00,2024-12-03,On Time
121024,09:30:00,2024-12-03,On Time
121025,09:30:00,2024-12-03,On Time
121026,09:30:00,2024-12-03,On Time
121027,09:30:00,2024-12-03,On Time
121028,09:30:00,2024-12-03,On Time
121029,09:30:00,2024-12-03,On Time
121030,09:30:00,2024-12-03,On Time
122001,09:30:00,2024-12-03,On Time
122002,09:30:00,2024-12-03,On Time
122003,09:30:00,2024-12-03,On Time
122004,09:30:00,2024-12-03,On Time
122005,09:30:00,2024-12-03,On Time
122006,09:30:00,2024-12-03,On Time
122007,09:30:00,2024-12-03,On Time
122008,09:30:00,2024-12-03,On Time
122009,09:30:00,2024-12-03,On Time
122010,09:30:00,2024-12-03,On Time
122011,09:30:00,2024-12-03,On Time
122012,09:30:00,2024-12-03,On Time
122013,09:30:00,2024-12-03,On Time
122014,09:30:00,2024-12-03,On Time
122015,09:30:00,2024-12-03,On Time
122016,09:30:00,2024-12-03,On Time
122017,09:30:00,2024-12-03,On Time
122018,09:30:00,2024-12-03,On Time
122019,09:30:00,2024-12-03,On Time
122020,09:30:00,2024-12-03,On Time
122021,09:30:00,2024-12-03,On Time
122022,09:30:00,2024-12-03,On Time
122023,09:30:00,2024-12-03,On Time
122024,09:30:00,2024-12-03,On Time
122025,09:30:00,2024-12-03,On Time
122026,09:30:00,2024-12-03,On Time
122027,09:30:00,2024-12-03,On Time
122028,09:30:00,2024-12-03,On Time
122029,09:30:00,2024-12-03,On Time
122030,09:30:00,2024-12-03,On Time
